FacName,FacStreet,FacCity,FacState,FacZip,RegistryID,FacEPARegion,FacSICCodes,FacNAICSCodes,FacCurrSNCFlg,FacQtrsInNC,FacInspectionCount,FacPopDen,FacPercentMinority,FacFormalActionCount,geometry,complete,lon,lat
ADS-PECAN ROW-EVERGREEN LANDFILLS,2995 WETHERINGTON LANE,VALDOSTA,GA,31601,110013947453,04,4953,562212 562211,N,0,5,116.33,38.807,0,POINT (-83.35981 30.81425),0,-83.35981,30.81425
ADS/MCLEAN COUNTY LANDFILL,2105 WEST OAKLAND AVENUE,BLOOMINGTON,IL,61705,110034159005,05,4953,562212,N,9,1,1287.81,25.384,0,POINT (-89.0377 40.47046),0,-89.0377,40.47046
ADVANCED DISPOSAL SERVICES BLUE RIDGE LANDFILL INC,2700 WINCHESTER RD,IRVINE,KY,40336,110013945222,04,4953,562212 562211,N,10,3,141.27,1.713,0,POINT (-83.97614 37.71186),0,-83.97614,37.71186
ADVANCED DISPOSAL SERVICES GREENTREE LDFL LLC/KERSEY,635 TOBY RD,KERSEY,PA,15846,110001060618,03,4953,562212,Y,3,15,32.39,2.004,0,POINT (-78.66866 41.29914),0,-78.66866,41.29914
ADVANCED DISPOSAL SERVICES HICKORY MEADOWS LANDFILL LLC,W3105 SCHNEIDER RD,HILBERT,WI,54129,110001929600,05,4953,562212,N,0,2,54.61,7.362,0,POINT (-88.19489400000001 44.107451),0,-88.194894,44.107451
"ADVANCED DISPOSAL SERVICES MAPLE HILL LANDFILL, INC.",31226 INTREPID ROAD,MACON,MO,63552,110006726123,07,4953,562212,N,5,3,86.84,4.772,1,POINT (-92.53865999999999 39.7318),0,-92.53866,39.7318
ADVANCED DISPOSAL SERVICES MOREHEAD LANDFILL INC,300 OLD PHELPS ROAD,MOREHEAD,KY,40351,110010724626,04,4953,562212 562211,N,9,6,86.02,2.532,0,POINT (-83.55324 38.18424),0,-83.55324,38.18424
ADVANCED DISPOSAL SERVICES VALLEY VIEW LANDFILL INC,1363 BEAR RD,DECATUR,IL,62522,110018431320,05,4953,562212,Y,12,3,177.83,6.773,1,POINT (-89.04369199999999 39.822232),0,-89.043692,39.822232
ADVANCED DISPOSAL SERVICES ZION LANDFILL INC,701 GREEN BAY RD,ZION,IL,60099,110001121553,05,4953,562212 562211,N,9,4,1060.34,40.558,0,POINT (-87.873878 42.483242),0,-87.873878,42.483242
ADVANCED ENVIRONMENTAL TECHNICAL SERV.,13005 S HAMLIN CT,ALSIP,IL,60803,110000905708,05,4953,562112 562212 562211,N,12,2,4098.19,48.711,0,POINT (-87.71420000000001 41.65618),0,-87.7142,41.65618
AERC.COM INC,4301 WOODLAND PARK DR STE 105,WEST MELBOURNE,FL,32904,110024249990,04,,562219 562212 562213 562211,N,0,0,925.16,17.687,0,POINT (-80.696955 28.09346),0,-80.696955,28.09346
AFETA - CAMP PEARY,1100 EXECUTIVE DR,WILLIAMSBURG,VA,23188,110020671619,03,1521,562212 928110 92811 48811,N,0,1,780.17,32.795,0,POINT (-76.756929 37.336065),0,-76.756929,37.336065
AIKEN COUNTY LANDFILL-LANGLEY,456 HUBER CLAY RD.,WARRENVILLE,SC,29851,110013963871,04,4953,562212,N,0,0,386.52,24.328,0,POINT (-81.841545 33.493315),0,-81.841545,33.493315
AIR CURTAIN DESTRUCTOR MODEL S 116 CORPUS CHRISTI,PORTABLE,CORPUS CHRISTI,TX,78417,110038449006,06,,562212,N,0,0,4070.56,84.422,0,POINT (-97.42019999999999 27.76425),0,-97.4202,27.76425
AKRON REGIONAL LANDFILL INC,1585 HARDY ROAD,AKRON,OH,44313,110006219733,05,,562212,N,0,3,1308.7,19.288,0,POINT (-81.559298 41.151282),0,-81.559298,41.151282
AL TURI LANDFILL & LFGTE FACILITY,73 HARTLEY ROAD,GOSHEN,NY,10924,110002442438,02,4953 4931,562212 221119,N,0,6,477.33,40.039,0,POINT (-74.37313 41.40646),0,-74.37313,41.40646
ALABAMA WASTE DISPOSAL SOLUTIONS,2205 COUNTY ROAD 6,PIEDMONT,AL,36272,110007348450,04,4953,562212 562111,N,1,7,38.72,3.157,0,POINT (-85.72965499999999 33.995349),0,-85.729655,33.995349
ALANCO ENERGY - INDIAN MESA LANDFILL,4730 HIGHWAY 50,GRAND JUNCTION 11.4 MI. SE OF,CO,81527,110064532322,08,4953,562212,N,0,1,14.5,12.531,0,POINT (-108.370722 38.906275),0,-108.370722,38.906275
ALBANY LANDFILL GAS UTILIZATION PROJECT,525 RAPP RD,ALBANY,NY,12205,110037939737,02,4953 4911,562212 221118,N,4,6,1634.18,20.674,1,POINT (-73.84958 42.70324),0,-73.84958,42.70324
ALBUQUERQUE CERRO COLORAD LANDFILL,18000 SOUTWEST CERRO COLORADO,ALBUQUERQUE,NM,87107,110001553051,06,4953 5541,562111 562212,N,0,4,0.0,0.0,0,POINT (-106.641388 35.14467),0,-106.641388,35.14467
ALCOA-MARYVILLE-BLOUNT COUNTY LANDFILL,240 LONG POWERS ROAD,FRIENDSVILLE,TN,37737,110034135264,04,4953,562212,N,0,4,504.48,6.542,0,POINT (-84.05978 35.73834),0,-84.05978,35.73834
ALDERSON REGIONAL LANDFILL,201 S 5TH ST,ALDERSON,OK,74522,110043802846,06,4953,562212,N,0,0,742.1,31.845,0,POINT (-95.6836 34.89762),0,-95.6836,34.89762
ALLEGANY COUNTY SANITARY LANDFILL,6006 COUNTY ROAD 48,ANGELICA,NY,14709,110041209938,02,4953,562212,N,6,0,63.69,3.771,0,POINT (-78.03338100000001 42.260895),0,-78.033381,42.260895
ALLEGHENY ENERGY RESOURCES LFG RECYCLING,600 THOMAS STREET EXTENSION,MONROEVILLE,PA,15146,110007336622,03,4953 9511,562212 924110 562,N,0,2,2024.02,20.354,0,POINT (-79.79867 40.4022),0,-79.79867,40.4022
ALLEN COUNTY LANDFILL,ALLEN COUNTY,IOLA,KS,66749,110007023023,07,4953,562212,N,0,4,3.71,7.619,0,POINT (-95.289343 38.007907),0,-95.289343,38.007907
ALLIANCE SANI LANDFILL INC/TAYLOR LDFL,398 KEYSER AVENUE,TAYLOR,PA,18517,110001028290,03,4953,562212,N,0,6,1104.2,7.321,0,POINT (-75.717434 41.400894),0,-75.717434,41.400894
ALLIED IMPERIAL LANDFILL,104 EAST ROBINSON ROAD,IMPERIAL,CA,92251,110001167745,09,4953,562212,N,0,1,245.51,80.587,1,POINT (-115.52505 32.85467),0,-115.52505,32.85467
ALLIED WASTE HAULING FACILITY,1911 W 65TH ST,LITTLE ROCK,AR,72209,110035767391,06,4953,562212,N,0,0,995.75,84.582,0,POINT (-92.297825 34.688419),0,-92.297825,34.688419
ALLIED WASTE NIAGARA FALLS LANDFILL,5600 NIAGARA FALLS BLVD,NIAGARA FALLS,NY,14304,110009827553,02,4953,562212 562211,N,2,7,2376.74,26.647,0,POINT (-78.99816 43.09046),0,-78.99816,43.09046
ALLIED WASTE SERVICES HAULING/COLLECTION,22 NIGHTINGALE AVENUE,QUINCY,MA,02169,110002019011,01,3713,562212 562111 562998,N,0,0,4701.11,29.239,0,POINT (-71.01152 42.2393),0,-71.01152,42.2393
ALLIED WASTE SERVICES OF ALBANY LLC,136 SICKER ROAD,LATHAM,NY,12110,110004364152,02,4212,562111 562212,N,1,0,1356.33,16.481,0,POINT (-73.801 42.752),0,-73.801,42.752
ALLIED WASTE SVCS O/STILLWATER SANITARY,1717 YOST RD,STILLWATER,OK,74075,110027232830,06,4953,562212,N,0,0,123.72,17.817,0,POINT (-97.03664000000001 36.20303),0,-97.03664,36.20303
"ALLIED WASTE SYCAMORE LANDFILL, LLC","4301 SYCAMORE RIDGE ROAD, RTE 34",HURRICANE,WV,25526,110034188643,03,4953,562212 562211,N,0,3,447.59,3.423,0,POINT (-82.02065 38.29295),0,-82.02065,38.29295
ALLIED WASTE SYSTEMS,"SEC.8,9 T13N R19W COAL MINE RD",MISSOULA,MT,59802,110001474351,08,,562212,N,0,5,1435.92,9.662,0,POINT (-114.013149 46.898312),0,-114.013149,46.898312
ALLIED WASTE SYSTEMS - TOWER LANDFILL,8480 TOWER RD,COMMERCE CITY,CO,80022,110013919359,08,4953,562212,N,1,5,291.03,35.669,0,POINT (-104.767499 39.853416),0,-104.767499,39.853416
ALLIED WASTE SYSTEMS OF MICHIGAN LLC,6233 HAGMAN ROAD,ERIE,MI,48133,110034152057,05,,562212 56221,N,0,1,1116.86,12.586,0,POINT (-83.509247 41.731819),0,-83.509247,41.731819
ALMADEN WINERY,13388 AIRLINE HIGHWAY,PAICINES,CA,95043,110000916313,09,,562212 31213,N,0,0,4.34,32.231,0,POINT (-121.275978 36.706195),0,-121.275978,36.706195
"ALTAIR DISPOSAL SERVICES, LLC",2 MI N ON HIGHWAY 71,ALTAIR,TX,77412,110008153032,06,,562212 562211,N,0,0,6.27,57.576,0,POINT (-96.485878 29.593197),0,-96.485878,29.593197
ALTAMONT LANDFILL AND RESOURCE RECOVERY FACILITY,10840 ALTAMONT PASS ROAD,LIVERMORE,CA,94551,110000831404,09,4911 4953,562212,N,2,4,2.1,22.414,0,POINT (-121.648611 37.753333),0,-121.648611,37.753333
ALTARSTONE ENERGY:BLACKBERRY LANDFILL,BLACKBERRY VALLEY RD,GREENVILLE,SC,29601,110007221096,04,4923,562212,N,0,0,0.0,0.0,0,POINT (-82.407822 34.840735),0,-82.407822,34.840735
"ALTERNATIVE WASTE MANAGEMENT, LLC. - CLASS IV LANDFILL",43 WHITE CITY ROAD,MAYFLOWER,AR,72106,110041904419,06,4953,562212,N,4,2,127.03,22.56,1,POINT (-92.441667 34.926667),0,-92.441667,34.926667
ALTUS CITY OF / ALTUS CITY OF LNDFLL 3533005,0.5 MILES N E1630/N1960 RDS,ALTUS,OK,73521,110044318672,06,4953,562212,N,0,0,0.0,0.0,0,POINT (-99.307633 34.64794),0,-99.307633,34.64794
AMADOR COUNTY SANITARY LANDFILL,6500 BUENA VISTA RD,IONE,CA,95640,110002811609,09,,562212,N,0,0,58.05,22.348,0,POINT (-120.916268 38.311259),0,-120.916268,38.311259
AMERICAN AVENUE LANDFILL,18950 W AMERICAN AVENUE,KERMAN,CA,93630,110013667488,09,4953,562212 562998,N,8,4,42.9,89.517,8,POINT (-120.1382 36.6659),0,-120.1382,36.6659
"AMERICAN CENTRIFUGE OPERATING, LLC",3930 US RT 23 S,PIKETON,OH,45661,110000395260,05,2819 4953,325188 32518 562211 325180 211112 23799 562212 22131 562910 325181,N,8,29,47.36,4.795,1,POINT (-82.99805000000001 39.01333),0,-82.99805,39.01333
AMERICAN GRADING CO,5100 WEST LAWNDALE AVENUE,SUMMIT,IL,60501,110013677495,05,4953,562212,N,0,0,3870.55,34.385,1,POINT (-87.83075700000001 41.789582),0,-87.830757,41.789582
AMERICAN LANDFILL INC.,7916 CHAPEL ST. SE,WAYNESBURG,OH,44688,110001629587,05,4953,562212 48699,N,8,4,129.37,4.694,1,POINT (-81.259879 40.707476),0,-81.259879,40.707476
AMHERST LANDFILL AND RECYCLING CENTER,270 BELCHERTOWN ROAD,AMHERST,MA,01040,110044359048,01,,562212,N,0,0,1153.32,26.67,0,POINT (-72.49245000000001 42.36625),0,-72.49245,42.36625
AMHERST LANDFILL RECYCLING CENTER,740 BELCHERTOWN ROAD,AMHERST,MA,01002,110013993278,01,,56121 562212,N,0,0,679.44,26.406,0,POINT (-72.477774 42.357566),0,-72.477774,42.357566
ANCHORAGE REGIONAL LANDFILL AND GAS POWER PLANT,15500 E EAGLE RIVER LOOP RD,JBER,AK,99505,110034176692,10,,562212,N,2,2,653.71,20.984,0,POINT (-149.604757 61.290401),0,-149.604757,61.290401
ANDERSON CNTY TRANSFER STA,25428 NE MORRIS RD,GARNETT,KS,66032,110032745821,07,,562111 562119 562212,N,0,0,23.37,3.817,0,POINT (-95.254642 38.233626),0,-95.254642,38.233626
ANDERSON LANDFILL,18703 CAMBRIDGE ROAD,ANDERSON,CA,96007,110002690730,09,4953,562212,N,1,2,124.25,15.9,0,POINT (-122.35787 40.41754),0,-122.35787,40.41754
ANDERSON REGIONAL LANDFILL LLC,203 LANDFILL RD,BELTON,SC,29627,110019990857,04,,562212 221118,N,0,5,180.62,14.306,0,POINT (-82.4603 34.57226),0,-82.4603,34.57226
ANGELINA COUNTY WASTE MANAGEMENT CENTER,7521 FM 58,LUFKIN,TX,75901,110030746959,06,,562212,N,0,0,174.19,20.574,0,POINT (-94.69499999999999 31.2525),0,-94.695,31.2525
ANGUILLA MUNICIPAL SOLID WASTE LANDFILL,6202 ANNAS HOPE,CHRISTIANSTED,VI,00820,110001915090,02,4953,562212,N,0,3,0.0,0.0,2,POINT (-64.78115200000001 17.7018),0,-64.781152,17.7018
ANHEUSER-BUSCH NUTRI-TURF SOD FARM,16163 LEM TURNER,JACKSONVILLE,FL,32218,110014394280,04,2082 4953,311942 111998 562212,N,0,5,212.27,18.896,0,POINT (-81.75711099999999 30.511856),0,-81.757111,30.511856
ANN ARBOR LANDFILL,2800 E ELLSWORTH RD,ANN ARBOR,MI,48108,110003618434,05,,562212,N,0,0,2050.51,36.423,0,POINT (-83.70984 42.23007),0,-83.70984,42.23007
ANNAPOLIS LANDFILL,33549 ANNAPOLIS RD,ANNAPOLIS,CA,95412,110002854867,09,,562212,N,0,0,7.94,38.393,0,POINT (-123.336293 38.704836),0,-123.336293,38.704836
ANNISTON ARMY DEPOT,7 FRANKFORD AVE DRK (BUILDING 199),ANNISTON,AL,36201,110000368851,04,1629 9711 1531 3799 3795 3471 1499 1542,928110 336992 332813 562212 238910 48811 562112 92811 49319,N,9,21,12.53,14.124,3,POINT (-85.96943899999999 33.659439),0,-85.969439,33.659439
ANP BELLINGHAM POWER PLANT,155 MAPLE ST,BELLINGHAM,MA,02019,110024360458,01,4911,221112 562212,N,0,3,929.55,8.291,0,POINT (-71.45295400000001 42.109971),0,-71.452954,42.109971
ANSON COUNTY LANDFILL,375 ALLIED ROAD,POLKTON,NC,28135,110033047913,04,4953,562212,N,0,7,150.19,65.624,0,POINT (-80.16764999999999 35.00019),0,-80.16765,35.00019
ANTELOPE VALLEY RECYCLING AND DISPOSAL FACILITY,1200 WEST CITY RANCH ROAD,PALMDALE,CA,93551,110038067472,09,4953,562212 562111 924110,N,0,5,2169.07,77.029,0,POINT (-118.13934 34.56786),0,-118.13934,34.56786
ANZA SANITARY LANDFILL,40329 TERWILLIGER RD,ANZA,CA,92539,110013895133,09,4953,562212,N,0,0,60.91,32.627,0,POINT (-116.630894 33.536716),0,-116.630894,33.536716
APAC CENTRAL INC / TULSA EAST QUARRY AND GENCOR ASPHALT,3605 NORTH 129TH EAST AVENUE,TULSA,OK,74116,110013665925,06,1422 4953 2951,212312 562212 324121,N,1,1,92.86,53.84,0,POINT (-95.83666700000001 36.205556),0,-95.836667,36.205556
APAC-KANSAS INC - STANLEY EAST,7100 W 167TH ST,STILWELL,KS,66085,110001963910,07,1422 4953,212312 562212,N,0,2,1098.88,15.228,0,POINT (-94.66777 38.82547),0,-94.66777,38.82547
APACHE JUNCTION MUNICIPAL SOLID WASTE LF,4050 S TOMAHAWK RD,APACHE JUNCTION,AZ,85119,110013935331,09,4953,562212,N,0,5,945.42,17.678,0,POINT (-111.528771 33.377246),0,-111.528771,33.377246
APEX ENVIRONMENTAL LLC WASTE TRANSFER STATION,53002 HIGH RIDGE ROAD,BRIDGEPORT,OH,43912,110006350643,05,,562212,N,0,1,226.96,5.57,0,POINT (-80.83726 40.06618),0,-80.83726,40.06618
"APEX ENVIRONMENTAL, LLC - SANITARY LANDF",11 COUNTY ROAD 78,AMSTERDAM,OH,43903,110050813943,05,,562212,N,0,2,41.47,1.871,0,POINT (-80.927272 40.42462),0,-80.927272,40.42462
APEX REGIONAL LANDFILL,13550 US HIGHWAY 93 NORTH,LAS VEGAS,NV,89165,110043798147,09,,562212,N,0,0,2889.26,34.574,0,POINT (-115.28183 36.29423),0,-115.28183,36.29423
APEX SANITARY LANDFILL,11 COUNTY ROAD 78,AMSTERDAM,OH,43903,110024560875,05,4952 4953,562212,N,4,2,70.43,1.475,0,POINT (-80.911512 40.432403),0,-80.911512,40.432403
APPEAL SANITARY LANDFILL,401 SWEETWATER ROAD,LUSBY,MD,20657,110001828158,03,4953,562212,N,0,2,610.82,23.904,0,POINT (-76.44439 38.38133),0,-76.44439,38.38133
APPOMATTOX COUNTY LANDFILL 86,STATE ROUTE 632,APPOMATTOX,VA,24522,110010912325,03,4953,562212,N,0,1,125.46,24.608,0,POINT (-78.80817500000001 37.379035),0,-78.808175,37.379035
APS CHOLLA GENERATING STATION,4801 FRONTAGE ROAD I 40,JOSEPH CITY,AZ,86032,110017206192,09,4911,221112 562212,N,0,2,43.09,21.04,0,POINT (-110.299867 34.940267),0,-110.299867,34.940267
"ARAKELIAN ENTERPRISES, INC",31 REFUSE RD,REDLANDS,CA,92373,110064588432,09,,562212,N,0,0,876.13,44.979,0,POINT (-117.21354 34.01167),0,-117.21354,34.01167
ARBOR HILLS LANDFILL,10690 W. SIX MILE RD,NORTHVILLE,MI,48167,110040862028,05,,562212 221118,Y,12,4,547.5,20.696,2,POINT (-83.55647 42.4069),0,-83.55647,42.4069
ARCHULETA COUNTY LANDFILL,9000 TRUJILLO ROAD,PAGOSA SPRINGS,CO,81147,110007240146,08,4953,562212,Y,4,1,5.55,14.286,0,POINT (-107.051666 37.156666),0,-107.051666,37.156666
ARCONIC,PARK AVE E,MASSENA,NY,13662,110000582735,02,3334 3354 3355 3361 3353,331312 331313 331314 331319 562212 331524 331318 331316 331311,N,11,13,599.9,7.548,4,POINT (-74.893685 44.950425),0,-74.893685,44.950425
ARDEN LDFL,200 RANGOS LANE,WASHINGTON,PA,15301,110061023663,03,4953,562212,N,0,1,1021.69,13.01,0,POINT (-80.264771 40.208427),0,-80.264771,40.208427
ARDEN LDFL/CHARTIERS TWP,200 RANGOS LN,WASHINGTON,PA,15301,110064209798,03,4953,562212,N,2,3,1021.69,13.01,1,POINT (-80.26477 40.20842),0,-80.26477,40.20842
AREA DISPOSAL SERVICES INC,RTE 51 S,CLINTON,IL,61727,110006168565,05,,562212,N,0,0,0.0,0.0,0,POINT (-88.97056000000001 40.141801),0,-88.97056,40.141801
ARECIBO MUNICIPAL SOLID WASTE LANDFILL,PR-682 KM 10.6,ARECIBO,PR,00612,110017614269,02,4953,562212,N,1,1,856.24,99.357,2,POINT (-66.62564399999999 18.466542),0,-66.625644,18.466542
ARMORY ST LANDFILL WESTERN DISP,STAFFORD ST,"SPRINGFIELD, CITY OF",MA,01102,110054884540,01,,562212,N,0,0,0.0,0.0,0,POINT (-72.55671 42.1107),0,-72.55671,42.1107
ASHE COUNTY LANDFILL,739 FRED PUGH RD,CRUMPLER,NC,28617,110027861188,04,9999,562212,N,0,2,35.46,12.474,0,POINT (-81.36635 36.51789),0,-81.36635,36.51789
ASHLEY COUNTY LANDFILL,309 ASHLEY 438 RD,HAMBURG,AR,71646,110010067925,06,4953,562212,N,2,1,69.03,48.077,0,POINT (-91.84944400000001 33.212222),0,-91.849444,33.212222
ASOTIN COUNTY LANDFILL,2901 6TH AVE,CLARKSTON,WA,99403,110014017241,10,4953,562212,N,11,0,459.29,6.287,0,POINT (-117.111887 46.383767),0,-117.111887,46.383767
ASPEN - PITKIN COUNTY AIRPORT,233 EAST AIRPORT ROAD,ASPEN,CO,81611,110001727105,08,1799,562212,N,0,0,184.55,11.243,0,POINT (-106.86373 39.21961),0,-106.86373,39.21961
ATASCOCITA RECYCLING AND DISPOSAL FACILITY,3623 WILSON ROAD,HUMBLE,TX,77396,110007336203,06,,562212 562211 221122,N,0,2,1638.0,71.982,0,POINT (-95.24966000000001 29.95135),0,-95.24966,29.95135
ATHENS & CLARKE COUNTIES-DUNLAP ROAD LF,5700 LEXINGTON RD,WINTERVILLE,GA,30683,110013454957,04,4911 4953,562212 221122 221119,N,0,3,270.71,35.26,0,POINT (-83.2634 33.9257),0,-83.2634,33.9257
ATHENS HOCKING RECLAMATION CENTER  *,17970 STATE ROUTE 33,NELSONVILLE,OH,45764,110008643575,05,4953 9999,562212,N,3,5,169.43,6.806,0,POINT (-82.28054299999999 39.46145),0,-82.280543,39.46145
ATHENS SERVICES,2390 N ADLER AVE,RIALTO,CA,92377,110064589066,09,,562212,N,0,0,0.0,0.0,0,POINT (-117.413731 34.15843),0,-117.413731,34.15843
ATHOL TRANSFER STATION (FORMER LANDFILL),1010 WEST ROYALSTON ROAD,ATHOL,MA,01331,110001102486,01,,562212,N,0,0,329.65,7.445,0,POINT (-72.22490999999999 42.62369),0,-72.22491,42.62369
ATI ALBANY OPERATIONS,530 34TH AVE SW,ALBANY,OR,97322,110000488017,10,3339,331410 331492 331419 325181 332811 331411 562212 332112,N,9,8,1494.09,18.227,3,POINT (-123.105111 44.607365),0,-123.105111,44.607365
ATKINSON COUNTY - SR 50 MSW LANDFILL,64 ARTHUR DAVIS JR. DRIVE,WILLACOOCHEE,GA,31650,110033177425,04,4953,562212,N,0,0,36.4,41.634,0,POINT (-83.014653 31.369779),0,-83.014653,31.369779
ATLANTIC COUNTY UTILITIES AUTH LANDFILL,6700 DELILAH RD,EGG HARBOR TOWNSHIP,NJ,08234,110022939454,02,4911 4953,562212 562998 221118,N,0,3,1643.56,62.526,6,POINT (-74.54036000000001 39.41653),0,-74.54036,39.41653
ATLANTIC WASTE DISPOSAL - SUSSEX COUNTY LAND,3474 ATLANTIC LN,WAVERLY,VA,23890,110020667580,03,4953,562212,N,1,4,94.76,73.531,0,POINT (-77.17710599999999 37.061279),0,-77.177106,37.061279
AUBURN (C),24 SOUTH ST,AUBURN,NY,13021,110004393148,02,,562212,N,0,0,1232.76,13.286,0,POINT (-76.566 42.93015),0,-76.566,42.93015
AUBURN LANDFILL NOS 1 & 2,285 NORTH DIVISION ST,AUBURN,NY,13021,110019344271,02,4953 5093,562212,Y,2,2,1097.42,14.331,0,POINT (-76.586758 42.951487),0,-76.586758,42.951487
AUGUSTA REGIONAL LANDFILL,749 CHRISTIANS CREEK RD,STAUNTON,VA,24401,110030493561,03,,562212,N,0,2,157.72,8.506,0,POINT (-79.0635 38.0781),0,-79.0635,38.0781
AUTOMOTIVE CORP INC,7921 E. MAIN RD.,LEROY,NY,14482,110002094830,02,3714,562212,N,0,0,237.91,5.998,0,POINT (-77.95725 42.98),0,-77.95725,42.98
AUTUMN HILLS RECYCLING AND DISPOSAL FACILITY,700 56TH AVENUE,ZEELAND,MI,49464,110002025736,05,,562212,N,0,3,105.6,5.039,0,POINT (-85.920569 42.780647),0,-85.920569,42.780647
AVA LANDFILL,7044 ST RTE 294,AVA,NY,13303,110032601432,02,4953,562212,N,1,8,30.54,1.402,0,POINT (-75.41200000000001 43.461),0,-75.412,43.461
AVENAL REGIONAL LANDFILL,1200 SKYLINE BLVD,AVENAL,CA,93204,110043803630,09,4953,562212 562998,N,6,5,454.11,86.986,13,POINT (-120.11535 36.01195),0,-120.11535,36.01195
AVERY COUNTY C&D LANDFILL,BRUSHY CREEK RD,NEWLAND,NC,28657,110056355741,04,,562212,N,0,0,116.68,7.195,0,POINT (-81.91518600000001 36.099066),0,-81.915186,36.099066
AVON POWER PLANT,350 SOLANO WAY,MARTINEZ,CA,94553,110002945467,09,,562212 221112,N,0,0,1319.51,40.979,0,POINT (-122.068661 38.026347),0,-122.068661,38.026347
AZCON CORP,630 ARTHUR AVE.,DULUTH,MN,55802,110001974971,05,4953,562212 42393,N,0,0,2090.67,16.335,0,POINT (-92.10680499999999 46.76118),0,-92.106805,46.76118
